lex_id,syll_str,in_el,fin_el,ms,backwards dd,syllabified
abstinences,vvvs,y,n,,,
abusoient,vvvs,y,n,,,
acquiesser,vvvv,y,n,,,
adjure,vvs,y,y,,,
admonnesta,vvvv,y,n,,,
admonneste,vvvs,y,n,,,
adorons,vvv,y,n,,,
advisoit,vvv,y,n,,,
affermer,vvv,y,n,,,
allast,vv,y,n,,,
ambassades,vvvs,y,n,,,
amictié,vvv,y,n,,,
appercevance,vvvvs,y,y,,,
auroient,vvs,y,n,,,
auroye,vvs,y,y,,,
aveugles,vvs,y,n,,,
aveuglez,vvv,y,y,,,
aymoient,vvs,y,n,,,
aymoit,vv,y,n,,,
baptiser,vvv,n,n,,,
baptiza,vvv,n,n,,,
baptizé,vvv,n,n,,,
baptizement,vvvv,n,n,,,
batamment,vvv,n,n,,,
bossus,vv,n,n,,,
chargez,vv,n,n,,,
cherement,vsv,n,n,,,
chrestienne,vdds,n,n,,,
chrestienté,vddv,n,n,,,
commission,vvdd,n,n,,,
compassion,vvdd,n,n,,,
compterent,vvs,n,n,,,
conduyre,vvs,n,y,,,
congneut,vv,n,n,,,
constituez,vvvv,n,n,,,
contrefaitz,vsv,n,n,,,
convertissement,vvvsv,n,n,,,
converty,vvv,n,n,,,
cornus,vv,n,n,,,
corpz,v,n,n,,,
corrigoit,vvv,n,n,,,
crime,vs,n,y,,,
croyent,vs,n,n,,,
cuyda,vv,n,n,,,
damnation,vvdd,v,v,,,
damnement,vsv,n,n,,,
damnez,vv,n,n,,,
demoniacle,vvvvs,n,y,,,
departies,vvvs,n,n,,,
desprisoit,vvv,n,n,,,
desservons,vvv,n,n,,,
deviendrois,vvv,n,n,,,
disposa,vvv,n,n,,,
diverty,vvv,n,n,,,
doulourer,vvv,n,n,,,
dyabolicques,vvvvs,n,n,,,
embassades,vvvs,y,n,,,
enchantement,vvsv,y,n,,,
enchanteur,vvhv,y,n,,,
enragés,vvv,y,n,,,
enseignant,vvv,y,n,,,
ensejourner,vvvv,y,n,,,
ensuivans,vvv,y,n,,,
ensuyvantes,vvvs,y,n,,,
ensuyvir,vvv,y,n,,,
entretenus,vsvv,y,n,,,
epydimie,vvvvs,y,y,,,
espanouie,vvvvs,y,y,,,
espelle,vvs,y,y,,,
estimer,vvv,y,n,,,
eufemie,vvvs,y,y,,,
euphemie,vvvs,y,y,,,
exaulcee,vvvs,y,y,,,
excité,vvv,y,n,,,
executer,vvvv,y,n,,,
extraict,vv,y,n,,,
faitz,v,n,n,,,
fineroye,vsvs,n,y,,,
frappé,vv,n,n,,,
garies,vvs,n,n,,,
gariroit,vvv,n,n,,,
gaulle,vs,n,y,,,
gemissemens,vvsv,n,n,,,
guary,vv,n,n,,,
gueriroit,vvv,n,n,,,
habitacle,vvvs,y,y,,,
idolatres,vvvs,y,n,,,
idolatrie,vvvvs,y,y,,,
ignorer,vvv,y,n,,,
imparfaicte,vvvs,y,y,,,
imperateur,vvvv,y,n,,,
infaictes,vvs,y,n,,,
infection,vvdd,y,n,,,
iniques,vvs,y,n,,,
jesu-crist,vvv,n,n,,,
jeusnes,vs,n,n,,,
langueurs,vv,n,n,,,
lict,v,n,n,,,
maintiennent,vvs,n,n,,,
malediction,vvvdd,n,n,,,
mandoit,vv,n,n,,,
maximien,vvdd,n,n,,,
mension,vv,n,n,,,
merciant,vdd,n,n,,,
meschanse,vvs,n,n,,,
meseaulx,vv,n,n,,,
meurtrie,vvs,n,y,,,
mouroient,vvs,n,n,,,
natif,vv,n,n,,,
nompas,vv,n,n,,,
opinions,vvdd,y,n,,,
oraisons,vvv,y,n,,,
ouye,vvs,y,y,,,
ouyr,vv,y,n,,,
ouyr,vv,y,n,,,
parfaitz,vv,n,n,,,
payenne,vvs,n,y,,,
perdition,vvdd,n,n,,,
peries,vvs,n,n,,,
persecuter,vvvv,n,n,,,
persecuteur,vvvv,n,n,,,
pestes,vs,n,n,,,
pleurans,vv,n,n,,,
policarpe,vvvs,n,y,,,
pourchasse,vvs,n,y,,,
pourraient,vvs,n,n,,,
pouvrement,vsv,n,n,,,
prescha,vv,n,n,,,
preschant,vv,n,n,,,
proffitz,vv,n,n,,,
promesses,vvs,n,n,,,
promettre,vvs,n,y,,,
promirent,vvs,n,n,,,
prouffitz,vv,n,n,,,
prouver,vv,n,n,,,
prudences,vvs,n,n,,,
prudent,vv,n,n,,,
racompta,vvv,n,n,,,
ramener,vvv,n,n,,,
reçeurent,vvs,n,n,,,
refusoit,vvv,n,n,,,
regretz,vv,n,n,,,
remple,vs,n,y,,,
rendans,vv,n,n,,,
revellation,vvvdd,n,n,,,
rommain,vv,n,n,,,
sachans,vv,n,n,,,
sacrifice,vvvs,n,y,,,
sagesse,vvs,n,y,,,
saluant,vvv,n,n,,,
saluerent,vvvs,n,n,,,
sanctifier,vvvv,n,n,,,
sauldroit,vv,n,n,,,
sçet,v,n,n,,,
sçeusse,hvs,n,y,,,
sçeut,v,n,n,,,
servons,vv,n,n,,,
soupirant,vvv,n,n,,,
suffisamment,vvvv,n,n,,,
supplioit,vvv,n,n,,,
supplye,vvs,n,y,,,
supporta,vvv,n,n,,,
teust,hv,n,n,,,
ungz,v,y,n,,,
verroient,vvs,n,n,,,
villaige,vvs,n,y,,,
visitoit,vvv,n,n,,,
ydolatrie,vvvvs,y,y,,,
ydolles,vvs,y,n,,,
