lemma_syntag	F	
à_Pre	2990	
abondamment_Adv	1	
absolument_Adv	1	
accordément_Adv	1	
acoup_Adv	8	
adès_Adv	30	
adieu_NVP	2	
adonc_Adv	67	
afin_Adv	28	
aigrement_Adv	1	
ailleurs_Adv	18	
ainc_Adv	1	
ainçois_Adv	42	
ains_Adv	11	
ains_PrA	41	
ainsi_Adv	224	
alors_Adv	8	
aluec_Adv	4	
ambore_Adv	1	
amèrement_Adv	1	
amesurément_Adv	1	
amont_PrA	17	
antan_Adv	1	
anuit_Adv	16	
apart_Adv	1	
apertement_Adv	16	
âprement_Adv	1	
après_PrA	163	
ardemment_Adv	1	
arrière_PrA	72	
assavoir_Adv	3	
assemblément_Adv	1	
assez_Adv	181	
atant_Adv	19	
atout_PrA	5	
attentivement_Adv	1	
aucunement_Adv	7	
auffort_Adv	1	
auprès_Adv	1	
auprès_PrA	1	
auques_Adv	18	
aussi_Adv	119	
aussiment_Adv	6	
aussitôt_Adv	2	
autant_Adv	13	
autrement_Adv	41	
autresi_Adv	12	
autretant_Adv	6	
aval_PrA	15	
avant_Adv	1	
avant_PrA	101	
avec_PrA	113	
avec_Pre	12	
avenamment_Adv	2	
bassement_Adv	1	
battamment_Adv	1	
baudement_Adv	1	
beau_Adv	1	
beaucoup_Adv	5	
bellement_Adv	13	
bénignement_Adv	2	
bien_Adv	1060	
bientôt_Adv	1	
bonnement_Adv	11	
bor_Adv	1	
bref_Adv	1	
brièvement_Adv	15	
buer_Adv	1	
çà_Adv	63	
çaendroit_Adv	1	
céans_Adv	22	
celément_Adv	1	
certainement_Adv	14	
certement_Adv	1	
certes_Adv	82	
charnellement_Adv	5	
chastement_Adv	2	
chèrement_Adv	4	
chez_Pre	11	
ci_Adv	216	
clairement_Adv	5	
coiement_Adv	12	
coiteusement_Adv	1	
communalement_Adv	3	
communément_Adv	11	
continuellement_Adv	4	
contre_PrA	7	
contre3_PrA	49	
contremont_Adv	1	
contremont_PrA	3	
convenablement_Adv	1	
coraument_Adv	1	
courageusement_Adv	1	
courtoisement_Adv	10	
couvertement_Adv	3	
cruellement_Adv	1	
dans_Pre	3	
de_Pre	5411	
de.le_Pre	1	
débonnairement_Adv	3	
debout_Adv	2	
deçà_PrA	11	
deci_Adv	16	
decique_PrA	2	
decoste_PrA	1	
dedans_PrA	53	
defors_PrA	1	
dehors_PrA	10	
déjà_Adv	1	
dejouxte_PrA	4	
delà_PrA	6	
delez_PrA	13	
délivrement_Adv	2	
demain_Adv	29	
demaintenant_Adv	1	
demanois_Adv	3	
dementiers_Adv	1	
depuis_PrA	6	
derechief_Adv	5	
derrière_PrA	22	
dès_Pre	39	
dès.avant_Adv	1	
desanz_Adv	1	
desavant_Adv	2	
désor_PrA	1	
désormais_Adv	4	
desque_PrA	2	
dèsque_PrA	18	
dessous_PrA	49	
dessur_PrA	4	
dessus_PrA	29	
desur_PrA	22	
detriès_Adv	1	
devant_PrA	181	
devers_PrA	29	
dévotement_Adv	4	
dignement_Adv	2	
diligemment_Adv	5	
diversement_Adv	1	
donc_Adv	243	
doucement_Adv	39	
douloureusement_Adv	3	
douteusement_Adv	1	
droit_Adv	14	
droit2_Adv	45	
droitement_Adv	3	
durement_Adv	28	
dusque_PrA	8	
efforciement_Adv	1	
également_Adv	3	
emprès_PrA	3	
en_Pre	2392	
en.extase_Adv	1	
en2_Neg	1	
enchez_PrA	1	
encontre_PrA	2	
encontre2_PrA	25	
encore_Adv	106	
encoste_PrA	3	
encui_Adv	5	
endementiers_Adv	2	
endroit_PrA	27	
eneslepas_Adv	4	
enfin_Adv	1	
enjeun_Adv	1	
enmi_PrA	14	
enné_NVP	1	
ennementes_Adv	1	
enquenuit_Adv	3	
enqui_Adv	1	
ens_PrA	53	
ensemble_Adv	67	
ensement_Adv	19	
ensens_Adv	3	
ensur_PrA	4	
ensurquetout_Adv	2	
ensus_PrA	4	
entendis_Adv	2	
entérinement2_Adv	1	
entièrement_Adv	7	
entour_PrA	23	
entre_PrA	100	
entrepied_Adv	1	
entresait_Adv	2	
entruès_Adv	1	
entruès_PrA	2	
enval_PrA	1	
envers_PrA	32	
environ_PrA	14	
envis_Adv	8	
errament_Adv	1	
erramment_Adv	7	
errant_Adv	5	
ersoir_Adv	4	
es_NVP	6	
es2_NVP	22	
eschariement_Adv	1	
espécialement_Adv	3	
espoir_Adv	2	
espoir2_Adv	12	
estros_Adv	2	
étrangement_Adv	3	
être_Pre	2	
être4_PrA	1	
étroit_Adv	5	
étroitement_Adv	2	
évidemment_Adv	1	
ex_Adv	1	
exploitiement_Adv	1	
exprès_Adv	2	
faiblement_Adv	2	STOP
faitement_Adv	3	
familièrement_Adv	1	
faussement_Adv	1	
feintement_Adv	1	
félonessement_Adv	1	
fermement_Adv	4	
fi2_NVP	1	
fièrement_Adv	5	
figuralement_Adv	1	
finement_Adv	3	
follement_Adv	10	
fors_PrA	22	
fort_Adv	32	
fortement_Adv	70	
franchement_Adv	2	
frescique_PrA	2	
frisquement_Adv	1	
furieusement_Adv	1	
gaiement_Adv	1	
gentement_Adv	4	
giens_Adv	2	
glorieusement_Adv	1	
grandement_Adv	9	
grief2_Adv	1	
grièvement_Adv	3	
grossement_Adv	1	
guère_Adv	42	
haitement_Adv	1	
hardiment_Adv	8	
hâtivement_Adv	8	
haut_Adv	2	
hautement_Adv	16	
héritablement_Adv	1	
hier_Adv	9	
honnêtement_Adv	3	
honoreement_Adv	1	
honteusement_Adv	1	
horriblement_Adv	1	
hors_Adv	1	
hors_PrA	195	
horsque_PrA	1	
hui_Adv	11	
hui2_Adv	34	
huidi_Adv	1	
huimais_Adv	8	
humblement_Adv	14	
ici_Adv	47	
illuec_Adv	52	
impétueusement_Adv	1	
in_Pre	2	
incontinent_Adv	1	
infailliblement_Adv	1	
instamment_Adv	1	
iqui_Adv	5	
irément_Adv	3	
isnel_Adv	1	
isnellement_Adv	18	
issi_Adv	32	
item_Adv	40	
jà_Adv	350	
jadis_Adv	20	
jamais_Adv	72	
jouxte_PrA	4	
joyeusement_Adv	2	
jus_Adv	33	
jus_PrA	4	
jus2_Adv	1	
jusque_PrA	85	
justement_Adv	3	
là_Adv	222	
là.fors_Adv	2	
laidement_Adv	1	
largement_Adv	12	
lassus_Adv	11	
léans_Adv	16	
légèrement_Adv	6	
lentement_Adv	1	
lez_Pre	22	
liément_Adv	6	
loignement_Adv	1	
loin_Adv	47	
longtemps_Adv	2	
longuement_Adv	42	
longues_Adv	7	
longues_Pre	1	
lors_Adv	105	
loyalement_Adv	16	
luès_Adv	12	
magnifiquement_Adv	1	
main_Adv	1	
main2_Adv	1	
maintenant_Adv	52	
mais_Adv	226	
maishui_Adv	3	
mal_Adv	10	
mal3_Adv	38	
malement_Adv	13	
malgré_PrA	2	
manois_Adv	1	
mar_Adv	20	
matin_Adv	5	
matinet_Adv	1	
mauvaisement_Adv	7	
même_Adv	8	
mêmement_Adv	5	
men_Adv	7	
menuement_Adv	1	
merveillement_Adv	1	
mi_Adv	1	
mie_Neg	50	
mie3_Neg	150	
mieux_Adv	197	
minuit_Adv	2	
moins_Adv	64	
mon2_Adv	5	
naguère_Adv	1	
naturellement_Adv	2	
ne_Neg	3937	
néanmoins_Adv	1	
neïs_Adv	19	
nenni_NVP	15	
neporoec_Adv	1	
nequedent_Adv	3	
nettement_Adv	2	
noblement_Adv	5	
nommément_Adv	2	
nompas_Neg	2	
non_Neg	14	
non_NVP	49	
nonobstant_Adv	2	
nonpourquant_Adv	16	
nonpourtant_Adv	1	
nouvellement_Adv	2	
nullement_Adv	8	
nunc_Adv	1	
o_Pre	168	
o4_NVP	2	
oan_Adv	1	
obstant_Adv	3	
onques_Adv	279	
or_Adv	97	
or2_Adv	400	
orains_Adv	3	
ordonnément_Adv	1	
orendroit_Adv	5	
oui_NVP	31	
outrageusement_Adv	1	
outre_PrA	16	
outre2_PrA	22	
outremer_Adv	2	
ouvertement_Adv	1	
par_Adv	12	
par_Pre	1468	
par2_Adv	38	
parce_Adv	1	
pareillement_Adv	5	
parfaitement_Adv	3	
parfois_Adv	1	
parfondément_Adv	2	
parmi_PrA	38	
partout_Adv	22	
pas_Neg	403	
patiemment_Adv	1	
pauvrement_Adv	2	
péché_Adv	1	
petit_Adv	4	
peu_Adv	29	
peu_PrA	1	
pieça_Adv	11	
piéça_Adv	1	
pis_Adv	2	
pis2_Adv	18	
piteusement_Adv	4	
piuement_Adv	1	
pleinement_Adv	8	
plus_Adv	733	
point_Neg	16	
point2_Neg	80	
poroec_Adv	7	
post_Adv	1	
post_PrA	1	
pour_Pre	1349	
pource_Adv	3	
pourpensément_Adv	1	
pourtant_Adv	7	
précisément_Adv	1	
premier_Adv	6	
premièrement_Adv	11	
près_Adv	2	
près_PrA	68	
présentement_Adv	4	
presque_Adv	3	
prestement_Adv	3	
preu_Neg	3	
prim_Adv	3	
prime_Adv	1	
primes_Adv	16	
privément_Adv	5	
prochainement_Adv	2	
promptement_Adv	3	
proprement_Adv	15	
pruef_Adv	4	
puer_Adv	2	
puis_Adv	18	
puis_PrA	318	
puissamment_Adv	1	
quasi_Adv	1	
qui_Adv	1	
radement_Adv	1	
raidement_Adv	1	
réallement_Adv	1	
rechef_Adv	1	
réglément_Adv	1	
richement_Adv	15	
rien_Adv	1	
rière_PrA	1	
rondement_Adv	1	
rudement_Adv	2	
sagement_Adv	14	
saintement_Adv	3	
sans_Pre	450	
sauvement_Adv	2	
second_PrA	1	
selon_PrA	58	
semblablement_Adv	3	
sempre_Adv	4	
sempres_Adv	13	
senglement_Adv	3	
serrément_Adv	1	
seul_Adv	8	
seulement_Adv	44	
seure_PrA	2	
seviaus_Adv	1	
si_Adv	342	
si4_Adv	1393	
sifaitement_Adv	3	
simplement_Adv	3	
singulièrement_Adv	1	
sinon_Adv	2	
siques_Adv	1	
soigneusement_Adv	3	
son_Pre	1	
soudainement_Adv	3	
souef_Adv	8	
sous_PrA	44	
sous_Pre	1	
souvent_Adv	117	
soventre_Adv	1	
subtilement_Adv	1	
suffisamment_Adv	4	
sur_PrA	260	
sûrement_Adv	9	
sus_PrA	132	
tandis_Adv	7	
tantôt_Adv	39	
tard_Adv	17	
tellement_Adv	5	
tempre_Adv	1	
tenablement_Adv	1	
tendrement_Adv	5	
tôt_Adv	149	
totalement_Adv	1	
totevoies_Adv	2	
toudis_Adv	14	
toujours_Adv	43	
toutefois_Adv	7	
toutevoie_Adv	3	
travers_Adv	4	
travers_PrA	2	
très_Adv	142	
très_PrA	3	
très.bien_Adv	2	
très.gentement_Adv	1	
très.tendrement_Adv	1	
très2_PrA	5	
tresque_PrA	6	
trestant_Adv	1	
trop_Adv	231	
trosque_PrA	4	
un_Adv	1	
UNKNOWN_Adv	4	
vaillamment_Adv	1	
vassalement_Adv	2	
véritablement_Adv	2	
vers_Pre	37	
vers2_Pre	111	
viaus_Adv	2	
vilainement_Adv	2	
vilement_Adv	3	
vite_Adv	1	
vitement_Adv	4	
vivement_Adv	1	
voici_NVP	12	
voilà_NVP	3	
voir_Adv	7	
voir2_Adv	23	
voire_Adv	6	
voire1_Adv	17	
voirement_Adv	11	
volentiers_Adv	71	
volontairement_Adv	1	
volontiers_Adv	12	
votre_Pre	1	
voyablement_Adv	1	
vraiment_Adv	27	
