lemma_syntag2	F	
le_Det	7409	
le_Prn$$	2230	
qui_Qux	2098	
il_Prn$	2085	
je_Prn$	1704	
tout_QIs	1679	
son4_Det	1637	
me_Prn$$	1572	
que_Qux	1466	
en2_Prn$$	1354	
un_QIs	1345	
se_Prn$$	1264	
ce_Prn	1187	
mon_Det	1180	
cil_Dem	910	
vous_Prn$$	909	
moult_QIs	893	
li_Prn$$	773	
tant_QIs	713	
y2_Prn$$	652	
cist_Dem	614	
son_Det	501	
votre_Det	483	
vous_Prn$	412	
nul_QIs	406	
on_Prn$	372	
vous_Prn	354	
moi_Prn	346	
te_Prn$$	342	
leur2_Det	338	
en_Prn$$	331	
il_Prn%	330	
dont_Qux	324	
où_Qux	323	
lui_Prn	310	
elle_Prn$	289	
notre_Det	272	
leur_Prn$$	249	
nous_Prn$$	229	
deux_QIs	216	
tu_Prn$	212	
maint_QIs	201	
ton2_Det	197	
chacun_QIs	193	
je_Prn%	189	
lui_Prn$$	182	
y_Prn$$	179	
quel_Qux	168	
eux_Prn	157	
comment_Qux	151	
nous_Prn$	151	
li_Prn	145	
vous_Prn%	132	
trèstout_QIs	119	
tu_Prn%	114	
on_Prn%	113	
il_Prn	111	
trois_QIs	109	
nous_Prn	98	
leur_Det	87	
toi_Prn	82	
je_Prn	76	
cent_QIs	72	
ce_Prn$	71	
elle_Prn	69	
soi_Prn	69	
quatre_QIs	67	
aucun_QIs	65	
cui_Qux	65	
le_Prn%%	60	
elle_Prn%	55	
quanque_Qux	53	
moi_Prn%%	51	
ton_Det	50	
vous_Prn%%	47	
ce_Dem	42	
plusieurs_QIs	41	
quant_Qux	41	
ambedeux_QIs	39	
nïent_Prn	36	
mille_QIs	35	
quoi_Qux	34	
tous_QIs	31	
tu_Prn	31	
combien_Qux	30	
néant_Prn	28	
quelque_QIs	28	
sept_QIs	28	
vingt_QIs	28	
le_Prn$	26	
lui_Prn$	26	
dix_QIs	25	
trente_QIs	25	
cinq_QIs	24	
en2_Prn	23	
lequel_Qux	23	STOP
six_QIs	22	
divers_QIs	20	
leur_Prn	20	
me_Prn%%	20	
le_Prn	19	
quarante_QIs	19	
soi_Prn$$	19	
el_Prn	18	
on_Prn	18	
en2_Prn%%	17	
moi_Prn$$	17	
toi_Prn%%	17	
douze_QIs	16	
nous_Prn%	16	
li_Prn%%	15	
nous_Prn%%	14	
en2_Prn$	13	
ceci_Prn	12	
en_Prn	12	
lui_Prn%%	12	
te_Prn%%	12	
auquant_Prn	11	
eux_Prn$	11	
toi_Prn$$	11	
cela_Prn	10	
moi_Prn$	10	
huit_QIs	9	
pourquoi_Qux	9	
quinze_QIs	9	
se_Prn%%	9	
ce_Prn%	8	
soi_Prn%%	8	
y2_Prn%%	8	
ambe_QIs	7	
me_Prn%$	7	
quand_Qux	7	
quiconque_Qux	7	
soi_Prn$	7	
y2_Prn$	7	
en_Prn%%	6	
li_Prn$	6	
me_Prn$	6	
o_Prn$$	6	
quatorze_QIs	6	
se_Prn$	6	
leur_Prn%%	5	
moi_Prn%$	5	
neuf_QIs	5	
nului_QIs	5	
par.ont_Qux	5	
quoique_Qux	5	
leur_Prn$	4	
me_Prn	4	
negun_QIs	4	
ce_Prn%%	3	
chaque_QIs	3	
cinquante_QIs	3	
en_Prn$	3	
le_Prn%$	3	
nesun_QIs	3	
onze_QIs	3	
soixante_QIs	3	
uns_QIs	3	
y2_Prn	3	
cist_Det	2	
en2_Prn%$	2	
il_Prn$$	2	
le_Prn$%	2	
nulom_QIs	2	
par.quoi_Qux	2	
quel_QIs	2	
quelconque_Qux	2	
se_Prn	2	
seize_QIs	2	
toi_Prn$	2	
treize_QIs	2	
UNKNOWN_QIs	2	
vous_Prn%$	2	
y_Prn%%	2	
aquel_Dem	1	
autrui_QIs	1	
celui_Dem	1	
cuique_Qux	1	
désores_QIs	1	
deux.cent_QIs	1	
dontre_Qux	1	
elle_Prn$$	1	
empreu_QIs	1	
en_Prn%$	1	
enpreu_QIs	1	
entredeux_QIs	1	
eux_Prn$$	1	
eux_Prn%	1	
eux_Prn%%	1	
ledit_Dem	1	
mais_Det	1	
moi_Prn%	1	
noif_QIs	1	
notre_Prn	1	
on_Prn$$	1	
quarante.sept_QIs	1	
quel_Prn	1	
quique_Qux	1	
sans_Det	1	
se_Prn%$	1	
sept.cent_QIs	1	
sien_Det	1	
tantet_QIs	1	
te_Prn	1	
te_Prn%$	1	
trois.cent_QIs	1	
vingt.neuf_QIs	1	
vos_Prn$$	1	
y_Prn$	1	
